epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.849,0.89992,1.42228,1.07371,0.73958,0.04098,0.05064,0.01741,2.79322,3.81307,3.80288,0.0704286,0.00328571,0.00328571
2,942.659,1.02787,1.05679,1.15329,0.6408,0.7289,0.76318,0.51066,1.27152,3.47272,1.67319,0.040363,0.00655352,0.00655352
3,1345.43,0.98139,0.98463,1.14838,0.15152,0.46733,0.09147,0.05428,1.88487,11.2122,2.11642,0.0102315,0.00975532,0.00975532
4,1752.39,0.95103,0.94445,1.12356,0.8325,0.79413,0.83227,0.62333,1.04324,1.50005,1.38196,0.009703,0.009703,0.009703
5,2153.89,0.87986,0.84061,1.08351,0.67795,0.70674,0.77599,0.58234,0.98558,1.96166,1.29595,0.009604,0.009604,0.009604
6,2549.67,0.81893,0.7887,1.05783,0.85532,0.88781,0.91171,0.77866,0.61931,0.87851,0.98187,0.009505,0.009505,0.009505
7,2939.48,0.78318,0.76321,1.03707,0.84766,0.85012,0.89694,0.7553,0.66772,0.98749,1.03562,0.009406,0.009406,0.009406
8,3332.27,0.77662,0.75536,1.03554,0.79,0.86805,0.8945,0.74278,0.76042,0.96024,1.10262,0.009307,0.009307,0.009307
9,3723.65,0.72809,0.69533,1.01768,0.86608,0.84434,0.91838,0.76585,0.69277,0.73444,1.0439,0.009208,0.009208,0.009208
10,4109.42,0.71071,0.67792,1.01026,0.94592,0.87877,0.95624,0.82273,0.55712,0.61639,0.95241,0.009109,0.009109,0.009109
11,4489.19,0.70727,0.67274,1.00821,0.86491,0.91911,0.93093,0.81609,0.5424,0.65611,0.9293,0.00901,0.00901,0.00901
12,4865.96,0.69189,0.63619,0.99426,0.89305,0.91218,0.94301,0.82467,0.55261,0.57348,0.93277,0.008911,0.008911,0.008911
